set,sport,year,condition,setAmount,name,team,league,setNumber,front,back,other,bought,createdAt,updatedAt
Bowman,BASKETBALL,2006-2007,Mint,165,Tim Duncan,San Antonio Spurs,NBA,20,https://www.tradingcarddb.com/Images/Cards/Basketball/3147/3147-770805Fr.jpg,https://www.tradingcarddb.com/Images/Cards/Basketball/3147/3147-770805Bk.jpg,,,,
NetPro,TENNIS,2003,Mint,100,Roger Federer,N/A,N/A,90,https://www.tradingcarddb.com/Images/Cards/Tennis/70210/70210-90Fr.jpg,https://www.tradingcarddb.com/Images/Cards/Tennis/70210/70210-90Bk.jpg,,,,
